Hogar,EXCLUIR,paraValidacion,Sector,DirCoordX,DirCoordY,MontoArr,IngresoHogar,Factor,AnosEstudio,CLASE,Sup_Prom_Constr_Hab_EOD,Calid_EOD_norm_inv,DensConstr_EOD,Dist_est_Metro_MC_KM,Dist_salida_Autop_MC_KM,Tiempo_Com_Stgo,Ingreso_Promedio_Zona_MM,Acc_Comercio_tpte_pub,Acc_Educacion_tpte_pub,Acc_Habitacion_tpte_pub,Acc_Industria_tpte_pub,Acc_Servicios_tpte_pub,Acc_Comercio_auto,Acc_Educacion_auto,Acc_Habitacion_auto,Acc_Industria_auto,Acc_Servicios_auto,CLUSTER7,CLUSTER2
136791,0,0,6,350449.9057,6290501.259,350000,1484243,89.554855,17,3,60.5,0.36,0.449,0.425586601,1.514403285,47,0.811801406,4387.04591,2696.32694,41240.90339,2993.4051,4561.72082,6655.02,3997.2,67660.03,5763.47,6598.77,2,1
136801,0,0,6,350481.0676,6290547.898,300000,1011823,103.627426,14,2,60.5,0.36,0.449,0.38215035,1.54271813,47,0.811801406,4387.04591,2696.32694,41240.90339,2993.4051,4561.72082,6655.02,3997.2,67660.03,5763.47,6598.77,2,1
136811,0,0,6,355756.1324,6290074.305,70000,179435,92.850464,9,1,42.1,0.36,0.111,3.597058186,3.575785207,65,0.49604388,1472.14719,941.04468,15389.3649,999.77529,1465.38941,5418.74,3281.61,57275.93,4489.26,5386.31,3,1
136820,0,0,6,355756.1324,6290074.305,80000,538744,86.79908,11,1,42.1,0.36,0.111,3.597058186,3.575785207,65,0.49604388,1472.14719,941.04468,15389.3649,999.77529,1465.38941,5418.74,3281.61,57275.93,4489.26,5386.31,3,1
136831,0,0,6,351976.3691,6288952.647,220417,1297637,457.90625,11,1,50.1,0.36,0.284,0.362738744,0.865409644,39,0.882935,4289.63494,2635.59736,41331.55848,2972.58287,4278.32039,6374.16,3855.39,66588.74,5390.87,6284.64,2,1
136843,0,0,6,352826.3823,6289835.891,156989,382965,109.571342,13,2,47,0.36,0.375,1.067888275,0.992930553,70,0.58586763,4355.84333,2557.03092,39465.06209,2969.35095,4545.74428,6568.08,3950.22,68405.56,5507.69,6534.44,5,1
136852,0,0,6,352826.1223,6289834.667,160000,362698,89.775681,12,2,47,0.36,0.375,1.06776069,0.993550788,70,0.58586763,4355.84333,2557.03092,39465.06209,2969.35095,4545.74428,6568.08,3950.22,68405.56,5507.69,6534.44,5,1
136860,0,0,6,352825.3454,6289836.874,110000,472959,103.882942,14,2,47,0.36,0.375,1.066753037,0.991502463,70,0.58586763,4355.84333,2557.03092,39465.06209,2969.35095,4545.74428,6568.08,3950.22,68405.56,5507.69,6534.44,5,1
136872,0,0,6,350475.3698,6285213.656,70000,44021,117.902237,0,1,26.7,0.36,0.263,2.377624427,2.320940215,76,0.467940203,1826.05017,1310.87624,21898.7923,1211.17251,1661.07209,5564.72,3451.76,59757.27,4731.68,5421.59,5,1
136881,0,0,6,350546.1065,6285560.785,151071,590498,115.846252,14,2,35.2,0.36,0.341,2.074270176,2.138674518,61,0.503767691,2039.17027,1412.88879,22779.28728,1238.01826,2038.18005,6021.12,3690.31,63774.06,5138.22,5905.61,5,1
136891,1,1,6,354812.3251,6288660.476,180000,607654,65.762413,12,2,54.6,0.36,0.242,2.740608141,3.287742419,60,0.845129333,1851.88837,1166.76243,18756.38874,1174.36185,1678.57259,5808.29,3521.58,61247.9,4829.91,5758.9,2,1
136902,0,0,6,350976,6289032,80000,691182,94.164558,9,1,43.2,0.36,0.25,0.360130957,0.197057796,44,0.698648,3562.22593,2270.7356,35104.51421,2429.59811,3703.45454,6481.42,3919.75,67217.06,5633.9,6378.26,2,1
136911,1,0,6,353517.7072,6286909.811,200000,736980,115.688866,-99,-99,49.3,0.36,0.244,0.960178352,3.152870415,58,0.875729625,2205.31431,1394.2239,23560.89681,1191.96367,2252.80305,5346.54,3278.56,57042.04,4424.32,5220.57,2,1
136921,0,0,6,350557.0762,6286428.069,155204,394721,109.832047,14,2,35.2,0.36,0.341,1.27086236,1.280298866,61,0.503767691,2039.17027,1412.88879,22779.28728,1238.01826,2038.18005,6021.12,3690.31,63774.06,5138.22,5905.61,5,1
136930,0,0,6,353646.2882,6288612.186,150000,299776,93.092758,15,2,37.8,0.36,0.293,1.596820147,2.446949623,59,0.729537682,2722.58351,1632.07604,28283.64998,1600.11826,2750.15447,5992.84,3648.82,63213.16,5034.03,5875.98,2,1
136940,0,0,6,355276.5488,6287874.953,250000,602338,68.12159,16,3,58.7,0.36,0.212,2.8480656,4.130141132,54,1.01821785,1851.88837,1166.76243,18756.38874,1174.36185,1678.57259,5808.29,3521.58,61247.9,4829.91,5758.9,2,1
136951,0,0,6,355454.3288,6289720.964,300000,355023,86.577538,17,3,48,0.36,0.231,3.438144071,3.370889276,66,0.641559205,1472.14719,941.04468,15389.3649,999.77529,1465.38941,5418.74,3281.61,57275.93,4489.26,5386.31,2,1
136961,0,0,6,355454.3288,6289720.964,300000,956108,69.944061,17,3,48,0.36,0.231,3.438144071,3.370889276,66,0.641559205,1472.14719,941.04468,15389.3649,999.77529,1465.38941,5418.74,3281.61,57275.93,4489.26,5386.31,2,1
136971,0,0,6,355454.3288,6289720.964,300000,558612,248.887177,17,3,48,0.36,0.231,3.438144071,3.370889276,66,0.641559205,1472.14719,941.04468,15389.3649,999.77529,1465.38941,5418.74,3281.61,57275.93,4489.26,5386.31,2,1
136981,0,0,6,355454.3288,6289720.964,350000,158577,74.820358,12,2,48,0.36,0.231,3.438144071,3.370889276,66,0.641559205,1472.14719,941.04468,15389.3649,999.77529,1465.38941,5418.74,3281.61,57275.93,4489.26,5386.31,2,1
